,Co_Code,Symbol,IdxStart_Date,IdxEnd_Date,StockChange,IndexChange,StkSDate,FirstClose,StkEDate,LastClose,Index,IndexDate,TypeTorB,IndexDaysDifference,IndexClose
49,700,RSWM,2025-03-04,2025-03-28,-2.46,7.67,2025-03-04,132.95,2025-03-28,129.68,NIFTY,2025-03-28,Top,24.0,23519.35
50,840,IFBAGRO,2006-06-14,2008-01-08,342.86,144.91,2006-07-03,35.0,2008-01-08,155.0,NIFTY,2008-01-08,Top,573.0,6287.85
51,840,IFBAGRO,2008-01-08,2008-10-27,-78.39,-64.56,2008-01-08,155.0,2008-10-27,33.5,NIFTY,2008-10-27,Bottom,293.0,2524.2
52,840,IFBAGRO,2008-10-27,2015-03-04,697.31,304.8,2008-10-27,33.5,2015-03-04,267.1,NIFTY,2015-03-04,Top,2319.0,8922.65
53,840,IFBAGRO,2015-03-04,2016-02-29,38.41,-25.15,2015-03-04,267.1,2016-02-29,369.7,NIFTY,2016-02-29,Bottom,362.0,6987.05
54,840,IFBAGRO,2016-02-29,2020-01-20,14.8,82.11,2016-02-29,369.7,2020-01-20,424.4,NIFTY,2020-01-20,Top,1421.0,12224.55
55,840,IFBAGRO,2020-01-20,2020-03-24,-62.66,-39.58,2020-01-20,424.4,2020-03-24,158.45,NIFTY,2020-03-24,Bottom,64.0,7801.05
56,840,IFBAGRO,2020-03-24,2024-09-27,258.03,249.85,2020-03-24,158.45,2024-09-27,567.3,NIFTY,2024-09-27,Top,1648.0,26178.95
57,840,IFBAGRO,2024-09-27,2025-03-04,-16.04,-16.41,2024-09-27,567.3,2025-03-04,476.3,NIFTY,2025-03-04,Bottom,158.0,22082.65
58,840,IFBAGRO,2025-03-04,2025-03-28,-3.28,7.67,2025-03-04,476.3,2025-03-28,460.7,NIFTY,2025-03-28,Top,24.0,23519.35
59,780,TTKHLTCARE,2008-10-27,2015-03-04,177.75,304.8,2010-01-08,283.65,2014-12-23,787.85,NIFTY,2015-03-04,Top,2319.0,8922.65
60,780,TTKHLTCARE,2015-03-04,2016-02-29,-11.97,-25.15,2015-12-02,990.65,2016-02-29,872.05,NIFTY,2016-02-29,Bottom,362.0,6987.05
61,780,TTKHLTCARE,2016-02-29,2020-01-20,-36.53,82.11,2016-02-29,872.05,2020-01-20,553.45,NIFTY,2020-01-20,Top,1421.0,12224.55
62,780,TTKHLTCARE,2020-01-20,2020-03-24,-47.57,-39.58,2020-01-20,553.45,2020-03-24,290.2,NIFTY,2020-03-24,Bottom,64.0,7801.05
63,780,TTKHLTCARE,2020-03-24,2024-09-27,476.69,249.85,2020-03-24,290.2,2024-09-27,1673.55,NIFTY,2024-09-27,Top,1648.0,26178.95
64,780,TTKHLTCARE,2024-09-27,2025-03-04,-31.49,-16.41,2024-09-27,1673.55,2025-03-04,1146.5,NIFTY,2025-03-04,Bottom,158.0,22082.65
65,780,TTKHLTCARE,2025-03-04,2025-03-28,3.8,7.67,2025-03-04,1146.5,2025-03-28,1190.05,NIFTY,2025-03-28,Top,24.0,23519.35
66,922,KESARENT,2006-06-14,2008-01-08,-19.23,144.91,2007-01-02,119.1,2008-01-08,96.2,NIFTY,2008-01-08,Top,573.0,6287.85
67,922,KESARENT,2008-01-08,2008-10-27,-49.84,-64.56,2008-01-08,96.2,2008-10-24,48.25,NIFTY,2008-10-27,Bottom,293.0,2524.2
68,922,KESARENT,2008-10-27,2015-03-04,-56.96,304.8,2008-10-28,47.75,2015-03-03,20.55,NIFTY,2015-03-04,Top,2319.0,8922.65
69,922,KESARENT,2015-03-04,2016-02-29,-6.68,-25.15,2015-03-09,21.7,2016-02-29,20.25,NIFTY,2016-02-29,Bottom,362.0,6987.05
70,922,KESARENT,2016-02-29,2020-01-20,58.52,82.11,2016-02-29,20.25,2019-12-30,32.1,NIFTY,2020-01-20,Top,1421.0,12224.55
71,1194,RACLGEAR,2024-09-27,2025-03-04,-14.49,-16.41,2024-11-27,847.9,2025-03-04,725.0,NIFTY,2025-03-04,Bottom,158.0,22082.65
72,1194,RACLGEAR,2025-03-04,2025-03-28,3.45,7.67,2025-03-04,725.0,2025-03-28,750.0,NIFTY,2025-03-28,Top,24.0,23519.35
73,991,BANCOINDIA,2006-06-14,2008-01-08,53.71,144.91,2006-12-22,14.82,2008-01-08,22.78,NIFTY,2008-01-08,Top,573.0,6287.85
74,991,BANCOINDIA,2008-01-08,2008-10-27,-46.01,-64.56,2008-01-08,22.78,2008-10-27,12.3,NIFTY,2008-10-27,Bottom,293.0,2524.2
75,991,BANCOINDIA,2008-10-27,2015-03-04,378.29,304.8,2008-10-27,12.3,2015-03-04,58.83,NIFTY,2015-03-04,Top,2319.0,8922.65
76,991,BANCOINDIA,2015-03-04,2016-02-29,-19.6,-25.15,2015-03-04,58.83,2016-02-29,47.3,NIFTY,2016-02-29,Bottom,362.0,6987.05
77,991,BANCOINDIA,2016-02-29,2020-01-20,15.6,82.11,2016-02-29,47.3,2020-01-20,54.68,NIFTY,2020-01-20,Top,1421.0,12224.55
78,991,BANCOINDIA,2020-01-20,2020-03-24,-46.63,-39.58,2020-01-20,54.68,2020-03-24,29.18,NIFTY,2020-03-24,Bottom,64.0,7801.05
79,991,BANCOINDIA,2020-03-24,2024-09-27,1066.72,249.85,2020-03-24,29.18,2024-09-27,340.45,NIFTY,2024-09-27,Top,1648.0,26178.95
80,991,BANCOINDIA,2024-09-27,2025-03-04,-7.73,-16.41,2024-09-27,340.45,2025-03-04,314.15,NIFTY,2025-03-04,Bottom,158.0,22082.65
81,991,BANCOINDIA,2025-03-04,2025-03-28,9.9,7.67,2025-03-04,314.15,2025-03-28,345.25,NIFTY,2025-03-28,Top,24.0,23519.35
82,100,OAL,2016-02-29,2020-01-20,10.89,82.11,2019-07-11,194.7,2020-01-20,215.9,NIFTY,2020-01-20,Top,1421.0,12224.55
83,100,OAL,2020-01-20,2020-03-24,-39.95,-39.58,2020-01-20,215.9,2020-03-24,129.65,NIFTY,2020-03-24,Bottom,64.0,7801.05
